"HS4","PCI_2019"
8533,0.6945
8534,0.7811
8535,0.5398
8536,0.5837
8537,0.6231
8538,0.6474
8539,0.9398
8540,0.8273
8541,0.8352
8542,1.4336
8543,1.6822
8544,-0.5745
8545,0.801
8546,0.924
8547,0.9431
8548,0.7508
8601,0.8973
8602,-0.1616
8603,1.9302
8604,0.4559
8605,0.5791
8606,0.0063
8607,0.7487
8608,1.0823
8609,0.0838
8701,1.0562
8702,0.1876
8703,1.2132
8704,0.7371
8705,0.301
8706,0.7305
8707,1.2837
8708,1.2675
8709,0.9029
8710,-0.0645
8711,0.7398
8712,-0.0216
8713,0.6293
8714,0.5831
8715,0.403
8716,0.6881
8801,0.1147
8802,0.3181
8803,0.8886
8804,0.4613
8805,0.6748
8901,-0.92
8902,-0.5164
8903,-0.0291
8904,-0.6512
8905,-1.3016
8906,0.0858
8907,-0.6497
8908,-1.563
9001,1.0658
9002,1.7668
9003,0.1427
9004,0.8069
9005,0.5569
9006,0.2873
9007,0.4236
9008,0.8485
9009,-0.0661
9010,1.5765
9011,0.8848
9012,1.8787
9013,1.4474
9014,0.3754
9015,0.4327
9016,1.523
9017,1.3247
9018,0.7531
9019,0.7876
9020,0.9084
9021,1.0151
9022,1.4464
9023,0.594
9024,1.3159
9025,1.161
9026,1.3249
9027,1.5406
9028,0.0922
9029,1.3258
9030,1.2784
9031,1.8769
9032,1.3814
9033,0.6978
9101,0.5517
9102,0.125
9103,0.9234
9104,0.9323
9105,0.8133
9106,0.6679
9107,1.0573
9108,0.9804
9109,0.5452
9110,1.4928
9111,0.6698
9112,0.3081
9113,-0.1739
9114,0.6318
9201,0.6413
9202,0.3023
9205,0.2636
9206,-0.6562
9207,0.2418
9208,0.4775
9209,0.9409
9301,0.0663
9302,0.6264
9303,-0.137
9304,0.5552
9305,0.3353
9306,0.0589
9307,-0.107
9401,0.0185
9402,0.9184
9403,0.4435
9404,-0.6082
9405,0.7605
9406,0.1112
9503,0.5698
9504,1.0827
9505,-0.2254
9506,0.6431
9507,-0.7014
9508,0.3683
9601,-1.0505
9602,-0.0051
9603,-0.1779
9604,0.0629
9605,-1.1174
9606,-0.2144
9607,0.3634
9608,0.4003
9609,-0.342
9610,0.4691
9611,1.0373
9612,1.0143
9613,-0.1367
9614,-0.4793
9615,0.5516
9616,0.412
9617,-0.0775
9618,-0.2626
9701,0.4145
9702,-0.2329
9703,-0.3181
9704,-0.0112
9705,-0.5983
9706,-1.1756
9999,-1.1705
