NACE2,HS2017,weight
10.32,2009.79,0.0516
10.32,2009.50,0.007
10.32,2009.61,0.037
10.32,2009.81,0.0126
10.32,2009.41,0.0197
10.32,2009.12,0.1742
10.32,2009.89,0.2833
10.32,2009.39,0.0319
10.32,2009.21,0.0239
10.32,2009.11,0.0226
10.32,2009.29,0.0041
10.39,0712.33,0
10.39,2005.80,0.1808
10.39,2005.70,0.0141
10.39,0712.31,0.0015
10.39,0712.39,0.0155
10.39,2001.90,0.0064
10.39,2003.90,0.008
10.39,0710.80,0.1326
10.39,2004.90,0.0992
10.39,2005.91,0.0003
10.39,2005.51,0.0124
10.39,2002.10,0.0195
10.39,2003.10,0.0215
10.39,0710.90,0.037
10.39,0710.40,0.0298
10.39,2005.40,0.0341
10.39,2005.59,0.0239
10.39,0712.32,0.0004
10.39,2002.90,0.0197
10.39,0712.20,0.0204
10.39,0711.51,0
10.39,0711.59,0.0001
10.39,2005.60,0.0024
10.39,2308.00,0.0111
10.39,0711.20,0.0001
10.39,0710.22,0.0411
10.39,0712.90,0.0441
10.39,2005.99,0.165
10.39,0710.21,0.0337
10.39,0710.30,0.0175
10.39,0711.40,0.0003
10.39,0711.90,0.0006
10.39,0710.29,0.0014
10.39,2001.10,0.0056
10.39,2008.40,0.0035
10.39,0811.20,0.0128
10.39,0814.00,0.0017
10.39,2008.91,0.0008
10.39,0811.10,0.0191
10.39,2008.20,0.0053
10.39,2008.97,0.0327
10.39,2008.70,0.0074
10.39,0813.20,0.0448
10.39,2008.30,0.015
10.39,0803.90,0.0007
10.39,0806.20,0.0059
